cluster_id,label,paper_count
0,"Intelligent Customs Compliance: Fraud Detection, HS Classification & Risk Analytics",197
1,"Trade Policy & Digital Governance: Regulatory Frameworks, Sustainability & Geopolitics",177
2,"Predictive Analytics for Trade Operations: Forecasting, Maritime Logistics & Safety",175
3,"Blockchain-Enabled Supply Chain Transparency: Traceability, Smart Contracts & Trust",165
4,"Cross-Border E-Commerce Platforms: Digital Trade, Market Intelligence & SME Growth",158
