source_id,target_id,source,target,weight
A5100462962,A5103157252,Jiahui Li,Jun Zhai,1
A5005592260,A5100707112,Lin Huang,Shihao Wang,1
A5005592260,A5103157252,Lin Huang,Jun Zhai,1
A5103157252,A5100707112,Jun Zhai,Shihao Wang,1
A5101772352,A5055373759,Bin Tang,Ying Zou,1
A5101772352,A5103210581,Bin Tang,Yun Na Wu,1
A5101772352,A5124972226,Bin Tang,Jiaran Zhang,1
A5101772352,A5125087066,Bin Tang,Chongzhou Wang,1
A5125087066,A5055373759,Chongzhou Wang,Ying Zou,1
A5125087066,A5103210581,Chongzhou Wang,Yun Na Wu,1
A5125087066,A5124972226,Chongzhou Wang,Jiaran Zhang,1
A5103210581,A5055373759,Yun Na Wu,Ying Zou,1
A5103210581,A5124972226,Yun Na Wu,Jiaran Zhang,1
A5124972226,A5055373759,Jiaran Zhang,Ying Zou,1
A5050801056,A5003547803,Juan Gabriel Vanegas-López,Diego Alejandro López-Cadavid,1
A5050801056,A5125088773,Juan Gabriel Vanegas-López,Carlos Andrés Pérez-Aguirre,1
A5125088773,A5003547803,Carlos Andrés Pérez-Aguirre,Diego Alejandro López-Cadavid,1
SCO_wang_z,SCO_geng_y,"Wang, Z.","Geng, Y.",1
SCO_wang_z,SCO_peng_k,"Wang, Z.","Peng, K.",1
SCO_wang_z,SCO_xie_p,"Wang, Z.","Xie, P.",1
SCO_geng_y,SCO_peng_k,"Geng, Y.","Peng, K.",1
SCO_geng_y,SCO_xie_p,"Geng, Y.","Xie, P.",1
SCO_xie_p,SCO_peng_k,"Xie, P.","Peng, K.",1
A5123445117,A5037516264,Kai Sun,Zheng Han,1
A5123445117,A5118803087,Kai Sun,Ding Xiong,1
A5123445117,A5123439538,Kai Sun,Xin Zhong,1
A5123439538,A5037516264,Xin Zhong,Zheng Han,1
A5123439538,A5118803087,Xin Zhong,Ding Xiong,1
A5118803087,A5037516264,Ding Xiong,Zheng Han,1
A5120545304,A5101706487,Ngoc Cuong Truong,Anh-Duy Nguyen,1
A5116559144,A5102935344,Cemile Solak-Fiskin,Efendi NASİBOV,1
A5116559144,A5108112191,Cemile Solak-Fiskin,Remzi Fişkin,1
A5116559144,A5121183598,Cemile Solak-Fiskin,Tuba Akkaya,1
A5116559144,A5121193266,Cemile Solak-Fiskin,Erkan Cakir,1
A5116559144,A5121213404,Cemile Solak-Fiskin,Ersin Firat Akgul,1
A5121193266,A5102935344,Erkan Cakir,Efendi NASİBOV,1
A5121193266,A5108112191,Erkan Cakir,Remzi Fişkin,1
A5121193266,A5121183598,Erkan Cakir,Tuba Akkaya,1
A5121193266,A5121213404,Erkan Cakir,Ersin Firat Akgul,1
A5108112191,A5102935344,Remzi Fişkin,Efendi NASİBOV,1
A5108112191,A5121183598,Remzi Fişkin,Tuba Akkaya,1
A5108112191,A5121213404,Remzi Fişkin,Ersin Firat Akgul,1
A5121213404,A5102935344,Ersin Firat Akgul,Efendi NASİBOV,1
A5121213404,A5121183598,Ersin Firat Akgul,Tuba Akkaya,1
A5102935344,A5121183598,Efendi NASİBOV,Tuba Akkaya,1
A5015343178,A5042366081,Ignacio Marra de Artiñano,Christian Volpe Martincus,1
A5015343178,A5092500447,Ignacio Marra de Artiñano,Franco Riottini Depetris,1
A5092500447,A5042366081,Franco Riottini Depetris,Christian Volpe Martincus,1
A5120479937,A5000941408,Yingqi Zou,Bo Ning,1
A5120479937,A5016513638,Yingqi Zou,Shaohan Wang,1
A5120479937,A5101494512,Yingqi Zou,Guanyu Li,1
A5016513638,A5000941408,Shaohan Wang,Bo Ning,1
A5016513638,A5101494512,Shaohan Wang,Guanyu Li,1
A5101494512,A5000941408,Guanyu Li,Bo Ning,1
A5103163998,A5123212869,Yongyi Wu,Lei Zhang,1
A5122694115,A5040709633,Yuan Luo,Kenan Gong,1
A5122694115,A5101761121,Yuan Luo,Jihua Lu,1
A5122694115,A5122490554,Yuan Luo,Meng Tao,1
A5040709633,A5101761121,Kenan Gong,Jihua Lu,1
A5040709633,A5122490554,Kenan Gong,Meng Tao,1
A5101761121,A5122490554,Jihua Lu,Meng Tao,1
A5031978607,A5008141914,Baozhuang Niu,Jian Dong,1
A5031978607,A5079423102,Baozhuang Niu,Fengfeng Xie,1
A5031978607,A5083950761,Baozhuang Niu,Zebin Zheng,1
A5031978607,A5100629699,Baozhuang Niu,Lingfeng Wang,1
A5031978607,A5035866507,Baozhuang Niu,Zhipeng Dai,1
A5031978607,A5070718554,Baozhuang Niu,Jian Dong,1
A5031978607,A5018333601,Baozhuang Niu,Bin Cao,1
A5031978607,A5068603882,Baozhuang Niu,Jie Gao,1
A5031978607,A5082260511,Baozhuang Niu,Zihao Mu,1
A5008141914,A5079423102,Jian Dong,Fengfeng Xie,1
A5123894317,A5123921488,Hicham Bouchtib,Mohamed Tabaa,1
A5123894317,A5123978429,Hicham Bouchtib,Mohamed Hamlich,1
A5123894317,A5124031501,Hicham Bouchtib,Kaouter Karboub,1
A5124031501,A5123921488,Kaouter Karboub,Mohamed Tabaa,1
A5124031501,A5123978429,Kaouter Karboub,Mohamed Hamlich,1
A5123921488,A5123978429,Mohamed Tabaa,Mohamed Hamlich,1
A5027863904,A5024129321,Georgios A. Deirmentzoglou,Ανδρέας Μασούρας,1
A5027863904,A5122330092,Georgios A. Deirmentzoglou,Eleni E. Anastasopoulou,1
A5027863904,A5122362756,Georgios A. Deirmentzoglou,Panikos Symeou,1
A5122330092,A5024129321,Eleni E. Anastasopoulou,Ανδρέας Μασούρας,1
A5122330092,A5122362756,Eleni E. Anastasopoulou,Panikos Symeou,1
