4	69	1
4	83	1
4	16	1
4	39	1
4	61	1
4	72	1
4	97	1
4	54	1
69	31	1
54	84	1
81	87	1
87	11	1
87	46	1
87	41	1
87	79	1
87	36	1
87	64	1
87	89	1
87	45	1
52	30	1
52	20	1
30	5	1
20	5	1
20	84	1
99	21	1
21	13	1
14	42	1
14	33	1
42	5	1
12	17	1
45	91	1
45	24	1
91	68	1
91	26	1
3	29	1
3	93	1
56	85	1
56	19	1
19	65	1
65	95	1
65	43	1
65	75	1
65	25	1
65	10	1
95	76	1
75	5	1
25	5	1
23	37	1
23	53	1
23	63	1
37	38	1
37	62	1
63	38	1
51	70	1
44	18	1
44	48	1
44	82	1
44	90	1
44	86	1
44	8	1
18	38	1
18	71	1
48	57	1
48	66	1
82	22	1
38	80	1
38	35	1
38	92	1
38	58	1
80	22	1
80	71	1
6	55	1
41	49	1
36	49	1
36	88	1
88	59	1
26	98	1
98	76	1
98	5	1
98	67	1
60	94	1
74	7	1
57	77	1
57	90	1
57	34	1
57	2	1
57	86	1
57	8	1
57	47	1
57	78	1
90	66	1
28	50	1
5	100	1
67	9	1
15	96	1
32	40	1
71	73	1
1	27	1
