76	13	6
76	44	3
76	12	2
76	33	2
76	34	2
13	44	3
13	12	2
13	33	2
13	34	2
31	50	4
66	49	4
66	67	2
66	37	2
49	37	3
49	67	2
49	17	2
54	20	3
37	17	2
38	27	3
38	28	3
27	28	3
44	12	2
32	53	2
15	57	2
51	36	2
51	75	2
36	75	2
68	16	2
41	2	2
69	35	2
69	10	2
69	22	2
35	22	2
35	10	2
10	22	2
62	18	2
62	21	2
18	21	2
73	39	2
29	6	2
61	19	2
63	47	2
3	58	2
26	14	2
70	40	2
24	64	2
24	72	2
24	74	2
64	72	2
64	74	2
72	74	2
60	25	2
60	1	2
25	1	2
11	46	2
59	55	1
59	52	1
55	52	1
56	4	1
56	5	1
56	7	1
56	8	1
56	9	1
56	30	1
4	9	1
4	30	1
4	5	1
4	7	1
4	8	1
5	9	1
5	30	1
5	7	1
5	8	1
7	9	1
7	30	1
7	8	1
8	9	1
8	30	1
9	30	1
48	71	1
48	65	1
48	43	1
48	23	1
48	42	1
48	45	1
71	42	1
71	23	1
71	65	1
71	43	1
71	45	1
65	42	1
65	23	1
65	43	1
65	45	1
43	42	1
43	23	1
43	45	1
23	42	1
23	45	1
42	45	1
